#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
default,1,,,,-1,,,,,
##,,,country/type,bb,bc,ca,cl,dd,tb,ss
##,,,austria,47,39,44,47,22,29,1
##,,,britain,90,50,65,200,508,119,23
##,,,france,59,41,68,67,125,47,191
##,,,germany,57,36,43,53,1,1,1
##,,,italy,147,53,64,77,76,47,189
##,,,japan,82,47,58,60,195,46,1
##,,,russia,63,36,45,51,151,48,64
##,,,spain,181,149,64,101,124,88,5
##,,,usa,53,45,53,97,755,202,15
##,,,china,115,115,44,89,110,1,1
##,,,portugal,,,,,,,
##,,,,,,,,,,
###,,,special,,,,,,,
17,,names,austria,dd,,name / number,"wrong, same name as TB (T-%)?, as use names in list from list, until run out of names",https://en.wikipedia.org/wiki/Category:World_War_I_torpedo_boats_of_Austria-Hungary,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
18,,names,austria,tb,,name / number,"wrong, use names from list, until run out of names, or some have numbers",https://en.wikipedia.org/wiki/List_of_ships_of_the_Austro-Hungarian_Navy,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
19,,U-%,austria,ss,,number / number,"good: U-2 (U2- U-3 U-4), U-5 (U5 U-6 U-7) mixure",https://en.wikipedia.org/wiki/List_of_Austro-Hungarian_U-boats,"No name, just prefix. Example: ""U-10"".",U-%
20,0,names,britain,dd,,names,dd: ok,https://en.wikipedia.org/wiki/List_of_destroyer_classes_of_the_Royal_Navy,,
21,0,names,britain,tb,,names,tb: wrong?,https://en.wikipedia.org/wiki/List_of_torpedo_boat_classes_of_the_Royal_Navy,,
22,,$ E-%,britain,ss,,letter / letter+number,ss wrong (different letters for class),https://en.wikipedia.org/wiki/List_of_submarine_classes_of_the_Royal_Navy,"No name, just prefix. Example: E-10"".",E-%
23,0,names $ D-%,france,dd,,names,"wrong, use names?",https://en.wikipedia.org/wiki/List_of_destroyers_of_France,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
24,,$ T-%,france,tb,,name / number,no info?,?,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
25,,Q-%,france,ss,,names,"wrong, use names, plus (Q%) postfix",https://en.wikipedia.org/wiki/List_of_submarines_of_France,"Design gets a random name. All subordinate ships receive Q-# nbr. Example: ""NAME Q-10"".",$ Q-%
26,,V-%,germany,dd,,letter / letter+number,"wrong, varius prefix, plus restarting number",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"No name, just prefix. Example: ""Z10"".",Z-%
27,,S-%,germany,tb,,letter / letter+number,"wrong, different prefixes",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"Design gets name ""Type-#Year"". All subordinate ships receive T-# nbr. Example: ""Type-1928 T10"".",Type-& T-%
28,,U-%,germany,ss,,number / number,"ok global number, as austria-ss",https://en.wikipedia.org/wiki/List_of_U-boats_of_Germany,"No name, just prefix. Example: ""U-10"".",U-%
29,0,names,italy,dd,,names,dd: ok (names),https://en.wikipedia.org/wiki/List_of_destroyers_of_Italy,,
30,0,names $ TA-%,italy,tb,,names,tb: few info,?,"Design gets a random name. All subordinate ships receive TA-# nbr. Example: ""NAME TA-10"".",$ TA-%
31,, T-%,italy,ss,,,ss: few info,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Italy,"Design gets a random name. All subordinate ships receive F-# nbr. Example: ""NAME F-10"".",$ T-%
32,0,names,japan,dd,,names,,,,
33,0,names,japan,tb,,names,,,,
34,0,disabled Ha-%,japan,ss,1910,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ha-# nbr. Example: ""NAME Ha-10"".",$ Ha-%
35,0,disabled Ro-%,japan,ss,1925,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ro-# nbr. Example: ""NAME Ro-10"".",$ Ro-%
36,,I-%,japan,ss,,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive I-# nbr. Example: ""NAME I-10"".",$ I-%
37,0,names,russia,dd,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,,
38,0,names $ TK-%,russia,tb,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,"Design gets a random name. All subordinate ships receive ΤK-# nbr. Example: ""NAME TK-10"".",$ TK-%
39,0,names $ M-%,russia,ss,1905,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive M-# nbr. Example: ""NAME M-10"".",$ M-%
40,0,names $ S-%,russia,ss,1920,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive S-# nbr. Example: ""NAME S-10"".",$ S-%
41,,Π-%,russia,ss,,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive B-# nbr. Example: ""NAME B-10"".",$ Π-%
42,0,names $ D-%,spain,dd,,names,"wrong: contradiction, use names?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Destroyers,"Design gets a random name. All subordinate ships receive D-# nbr. Example: ""NAME D-10"".",$ D-%
43,0,names $ T-%,spain,tb,,names,"names for class, number for fleet ship?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Torpedo_boats,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
44,,S-%,spain,ss,,letter / letter+number,,,,$ S-%
45,0,A-%,spain,ss,1905,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: A-10"".",A-%
46,0,B-%,spain,ss,1920,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: ""B-10"".",B-%
47,0,C-%,spain,ss,,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix.  Example: C-10"".",C-%
48,0,names,usa,dd,,names,"dd: wrong, name for class, name+(DD-N) for fleet;",https://en.wikipedia.org/wiki/Category:World_War_I_destroyers_of_the_United_States,,
49,0,names $ TB-%,usa,tb,,names,"tb: wrong, name for class, name+(TB-N) for fleet",https://en.wikipedia.org/wiki/List_of_torpedo_boats_of_the_United_States_Navy,"Design gets a random name. All subordinate ships receive ΤΒ-# nbr. Example: ""NAME TB-10"".",$ TB-%
50,,SS-%,usa,ss,,letter / letter+number,"wrong, class name is letter, fleet name is X-N (local) (SS-N (global))",https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_the_United_States,"Design gets a random name. All subordinate ships receive SS-# nbr. Example: ""NAME SS-10"".",$ SS-%
51,,Y-%,china,tb,,,,,,$ Y-%
52,,Ch-%,china,ss,,,,,,$ Ch-%
###,,,austria,,,,,,,
54,,Doppeladler,austria,bb,,,,,,
55,,Habsburg,austria,bb,,,,,,
56,,Kaiser Franz I,austria,bb,,,,,,
57,,"Klemens, Furst von Metternich-Winneburg zu Beilstein",austria,bb,,,,,,
58,,"Franz Joseph, Graf Kinsky von Wchinitz und Tettau",austria,bb,,,,,,
59,,"Octavian Joseph, Graf Kinsky von Wchinitz und Tettau",austria,bb,,,,,,
60,,Szent Erzsebet,austria,bb,,,,,,
61,,Szent Margit,austria,bb,,,,,,
62,,"Richard Klemens, Furst von Metternich-Winneburg zu Beilstein",austria,bb,,,,,,
63,,Kaiserin und Konigin Maria Theresia,austria,bb,,,,,,
64,,Kaiserin Maria Theresia,austria,bb,,,,,,
65,,Kaiserin Maria Ludovika,austria,bb,,,,,,
66,,Kaiserin Karoline Auguste,austria,bb,,,,,,
67,,Kaiser Ferdinand I,austria,bb,,,,,,
68,,Kaiserin Maria Anna,austria,bb,,,,,,
69,,"Wilhelm, Freiherr von Tegetthoff",austria,bb,,,,,,
70,,"Eugen Franz, Prinz von Savoyen-Carignan",austria,bb,,,,,,
71,,Szent Istvan,austria,bb,,,,,,
72,,Kaiser Franz Joseph I,austria,bb,,,,,,
73,,Kaiserin Elisabeth,austria,bb,,,,,,
74,,Erzherzog Franz Karl,austria,bb,,,,,,
75,,Erzherzogin Sophie Friederike,austria,bb,,,,,,
76,,Erzherzog Leopold,austria,bb,,,,,,
77,,Erzherzog Albrecht,austria,bb,,,,,,
78,,Erzherzog Karl Ferdinand,austria,bb,,,,,,
79,,Erzherzog Friedrich Ferdinand,austria,bb,,,,,,
80,,Erzherzog Stephan Franz Viktor,austria,bb,,,,,,
81,,Erzherzog Joseph Anton,austria,bb,,,,,,
82,,Erzherzogin Hermine Amalie Marie,austria,bb,,,,,,
83,,Erzherzog Wilhelm Franz Karl,austria,bb,,,,,,
84,,Erzherzog Ferdinand Maximilian,austria,bb,,,,,,
85,,Erzherzog Rainer Ferdinand,austria,bb,,,,,,
86,,Kronprinz Erzherzog Rudolf,austria,bb,,,,,,
87,,Kronprinzessin Erzherzogin Stephanie,austria,bb,,,,,,
88,,Erzherzogin Maria Theresia,austria,bb,,,,,,
89,,Erzherzogin Maria Karoline,austria,bb,,,,,,
90,,Erzherzogin Elisabeth Franziska,austria,bb,,,,,,
91,,Erzherzogin Adelheid Franziska,austria,bb,,,,,,
92,,Erzherzogin Mathilde Marie,austria,bb,,,,,,
93,,Viribus Unitis,austria,bb,,,,,,
94,,Indivisibiliter ac Inseparabiliter,austria,bb,,,,,,
95,,Wien,austria,bb,,,,,,
96,,Budapest,austria,bb,,,,,,
97,,"Friedrich Ferdinand, Graf von Beust",austria,bb,,,,,,
98,,Richard Graf von Belcredi,austria,bb,,,,,,
99,,Erzherzog Johann,austria,bb,,,,,,
100,,"Hermann, Freiherr von Spaun",austria,bb,,,,,,
101,,Kaiser Franz I,austria,bc,,,,,,
102,,"Klemens, Furst von Metternich-Winneburg zu Beilstein",austria,bc,,,,,,
103,,"Franz Joseph, Graf Kinsky von Wchinitz und Tettau",austria,bc,,,,,,
104,,"Octavian Joseph, Graf Kinsky von Wchinitz und Tettau",austria,bc,,,,,,
105,,Szent Erzsebet,austria,bc,,,,,,
106,,Szent Margit,austria,bc,,,,,,
107,,"Richard Klemens, Furst von Metternich-Winneburg zu Beilstein",austria,bc,,,,,,
108,,Kaiserin und Konigin Maria Theresia,austria,bc,,,,,,
109,,Kaiserin Maria Theresia,austria,bc,,,,,,
110,,Kaiserin Maria Ludovika,austria,bc,,,,,,
111,,Kaiserin Karoline Auguste,austria,bc,,,,,,
112,,Kaiser Ferdinand I,austria,bc,,,,,,
113,,Kaiserin Maria Anna,austria,bc,,,,,,
114,,"Wilhelm, Freiherr von Tegetthoff",austria,bc,,,,,,
115,,"Eugen Franz, Prinz von Savoyen-Carignan",austria,bc,,,,,,
116,,Szent Istvan,austria,bc,,,,,,
117,,Kaiser Franz Joseph I,austria,bc,,,,,,
118,,Kaiserin Elisabeth,austria,bc,,,,,,
119,,Erzherzog Franz Karl,austria,bc,,,,,,
120,,Erzherzogin Sophie Friederike,austria,bc,,,,,,
121,,Erzherzog Leopold,austria,bc,,,,,,
122,,Erzherzog Albrecht,austria,bc,,,,,,
123,,Erzherzog Karl Ferdinand,austria,bc,,,,,,
124,,Erzherzog Friedrich Ferdinand,austria,bc,,,,,,
125,,Erzherzog Stephan Franz Viktor,austria,bc,,,,,,
126,,Erzherzog Joseph Anton,austria,bc,,,,,,
127,,Erzherzogin Hermine Amalie Marie,austria,bc,,,,,,
128,,Erzherzog Wilhelm Franz Karl,austria,bc,,,,,,
129,,Erzherzog Ferdinand Maximilian,austria,bc,,,,,,
130,,Erzherzog Rainer Ferdinand,austria,bc,,,,,,
131,,Kronprinz Erzherzog Rudolf,austria,bc,,,,,,
132,,Kronprinzessin Erzherzogin Stephanie,austria,bc,,,,,,
133,,Erzherzogin Maria Theresia,austria,bc,,,,,,
134,,Erzherzogin Maria Karoline,austria,bc,,,,,,
135,,Erzherzogin Elisabeth Franziska,austria,bc,,,,,,
136,,Erzherzogin Adelheid Franziska,austria,bc,,,,,,
137,,Erzherzogin Mathilde Marie,austria,bc,,,,,,
138,,Viribus Unitis,austria,bc,,,,,,
139,,Indivisibiliter ac Inseparabiliter,austria,bc,,,,,,
140,,Wien,austria,ca,,,,,,
141,,Prag,austria,ca,,,,,,
142,,Triest,austria,ca,,,,,,
143,,Lemberg,austria,ca,,,,,,
144,,Krakau,austria,ca,,,,,,
145,,Graz,austria,ca,,,,,,
146,,Budapest,austria,ca,,,,,,
147,,Brunn,austria,ca,,,,,,
148,,Czernowitz,austria,ca,,,,,,
149,,Pilsen,austria,ca,,,,,,
150,,Linz,austria,ca,,,,,,
151,,Sankt Georg,austria,ca,,,,,,
152,,Helgoland,austria,ca,,,,,,
153,,Szeged,austria,ca,,,,,,
154,,Szabadka,austria,ca,,,,,,
155,,Debrecen,austria,ca,,,,,,
156,,Zagreb,austria,ca,,,,,,
157,,Pozsony,austria,ca,,,,,,
158,,Temesvar,austria,ca,,,,,,
159,,Kecskemet,austria,ca,,,,,,
160,,Nagyvarad,austria,ca,,,,,,
161,,Arad,austria,ca,,,,,,
162,,Hodmezovasarhely,austria,ca,,,,,,
163,,Salzburg,austria,ca,,,,,,
164,,Innsbruck,austria,ca,,,,,,
165,,Klagenfurt,austria,ca,,,,,,
166,,Kolozsvar,austria,ca,,,,,,
167,,Ujpest,austria,ca,,,,,,
168,,Sankt Polten,austria,ca,,,,,,
169,,Miskolc,austria,ca,,,,,,
170,,Wiener Neustadt,austria,ca,,,,,,
171,,Steyr,austria,ca,,,,,,
172,,Feldkirch,austria,ca,,,,,,
173,,Pecs,austria,ca,,,,,,
174,,Leonding,austria,ca,,,,,,
175,,Klosterneuburg,austria,ca,,,,,,
176,,Wolfsberg,austria,ca,,,,,,
177,,Leoben,austria,ca,,,,,,
178,,Krems,austria,ca,,,,,,
179,,Traun,austria,ca,,,,,,
180,,Amstetten,austria,ca,,,,,,
181,,Lustenau,austria,ca,,,,,,
182,,Kapfenberg,austria,ca,,,,,,
183,,Triest,austria,ca,,,,,,
184,,Acheron,austria,cl,,,,,,
185,,Achilleus,austria,cl,,,,,,
186,,Adephagia,austria,cl,,,,,,
187,,Adonis,austria,cl,,,,,,
188,,Agamemnon,austria,cl,,,,,,
189,,Amazonen,austria,cl,,,,,,
190,,Ambrosos,austria,cl,,,,,,
191,,Antigone,austria,cl,,,,,,
192,,Argos,austria,cl,,,,,,
193,,Ariadne,austria,cl,,,,,,
194,,Atlas,austria,cl,,,,,,
195,,Boreas,austria,cl,,,,,,
196,,Chloe,austria,cl,,,,,,
197,,Chloris,austria,cl,,,,,,
198,,Charon,austria,cl,,,,,,
199,,Daphne,austria,cl,,,,,,
200,,Eleos,austria,cl,,,,,,
201,,Endymion,austria,cl,,,,,,
202,,Galateia,austria,cl,,,,,,
203,,Hades,austria,cl,,,,,,
204,,Hektor,austria,cl,,,,,,
205,,Hermes,austria,cl,,,,,,
206,,Herakles,austria,cl,,,,,,
